"Time","Salon","2ème étage","Chambre 3","Chambre 2"
2020-12-17 19:30:00,1044,862,842,1085
2020-12-17 20:00:00,1054,882,874,1176
2020-12-17 20:30:00,1008,889,969,1334
2020-12-17 21:00:00,987,895,1034,1449
2020-12-17 21:30:00,952,942,1085,1552
2020-12-17 22:00:00,900,1139,1131,1613
2020-12-17 22:30:00,837,1231,1188,1633
2020-12-17 23:00:00,790,1147,1233,1706
2020-12-17 23:30:00,758,1059,1282,1764
2020-12-18 00:00:00,756,997,1329,1829
2020-12-18 00:30:00,718,949,1350,1880
2020-12-18 01:00:00,707,899,1381,1931
2020-12-18 01:30:00,685,881,1412,1955
2020-12-18 02:00:00,663,867,1442,2018
2020-12-18 02:30:00,641,834,1465,2050
2020-12-18 03:00:00,626,825,1482,2057
2020-12-18 03:30:00,612,833,1496,2054
2020-12-18 04:00:00,591,828,1519,2069
2020-12-18 04:30:00,582,823,1542,2100
2020-12-18 05:00:00,564,839,1565,2122
2020-12-18 05:30:00,555,839,1567,2146
2020-12-18 06:00:00,543,827,1601,2177
2020-12-18 06:30:00,544,835,1622,2201
2020-12-18 07:00:00,538,801,1629,2254
2020-12-18 07:30:00,670,762,830,1086
2020-12-18 08:00:00,755,537,504,512
2020-12-18 08:30:00,650,478,573,519
2020-12-18 09:00:00,670,500,568,528
2020-12-18 09:30:00,720,519,581,517
2020-12-18 10:00:00,687,544,598,516
2020-12-18 10:30:00,659,552,591,514
2020-12-18 11:00:00,631,552,561,506
2020-12-18 11:30:00,650,546,551,509
2020-12-18 12:00:00,764,547,583,496
2020-12-18 12:30:00,818,617,691,494
2020-12-18 13:00:00,838,760,811,490
2020-12-18 13:30:00,876,840,888,510
2020-12-18 14:00:00,884,877,965,535
2020-12-18 14:30:00,860,923,1008,543
2020-12-18 15:00:00,919,858,1090,542
2020-12-18 15:30:00,956,836,1054,588
2020-12-18 16:00:00,825,828,894,597
2020-12-18 16:30:00,641,785,769,593
2020-12-18 17:00:00,845,715,735,589
2020-12-18 17:30:00,857,736,785,595
2020-12-18 18:00:00,802,749,783,598
2020-12-18 18:30:00,893,742,812,573
2020-12-18 19:00:00,925,,880,579
2020-12-18 19:30:00,1042,803,988,740
2020-12-18 20:00:00,1091,899,1005,
2020-12-18 20:30:00,1075,912,1100,747
2020-12-18 21:00:00,1013,983,1181,747
2020-12-18 21:30:00,940,1093,1238,747
2020-12-18 22:00:00,881,1129,1279,
2020-12-18 22:30:00,818,1098,1333,
2020-12-18 23:00:00,761,1055,1368,747
2020-12-18 23:30:00,734,1006,1409,
2020-12-19 00:00:00,717,983,1439,1371
2020-12-19 00:30:00,693,953,1467,1683
2020-12-19 01:00:00,662,922,1508,1756
2020-12-19 01:30:00,630,905,1534,1749
2020-12-19 02:00:00,609,882,1541,1744
2020-12-19 02:30:00,575,856,1565,1846
2020-12-19 03:00:00,574,873,1583,1914
2020-12-19 03:30:00,556,855,1602,1909
2020-12-19 04:00:00,554,841,1609,
2020-12-19 04:30:00,550,833,1615,1955
2020-12-19 05:00:00,533,825,1632,1999
2020-12-19 05:30:00,512,817,1644,
2020-12-19 06:00:00,511,814,1658,
2020-12-19 06:30:00,515,810,1703,2136
2020-12-19 07:00:00,506,827,1703,2278
2020-12-19 07:30:00,528,810,1734,2290
2020-12-19 08:00:00,593,772,1746,2290
2020-12-19 08:30:00,650,920,1757,583
2020-12-19 09:00:00,683,875,976,439
2020-12-19 09:30:00,712,681,515,560
2020-12-19 10:00:00,766,,656,655
2020-12-19 10:30:00,721,,682,633
2020-12-19 11:00:00,655,,640,631
2020-12-19 11:30:00,620,,617,615
2020-12-19 12:00:00,594,,569,595
2020-12-19 12:30:00,573,,552,595
2020-12-19 13:00:00,640,681,568,601
2020-12-19 13:30:00,661,631,644,655
2020-12-19 14:00:00,682,668,750,868
2020-12-19 14:30:00,686,,858,1099
2020-12-19 15:00:00,679,596,923,1224
2020-12-19 15:30:00,520,601,975,1253
2020-12-19 16:00:00,573,603,905,989
2020-12-19 16:30:00,827,,730,817
